name
Jazz
Rap
A capella
Afro
Acoustic
Alternative
Americana
Bachata
Balkan
Baroque
Bebop
Big Band
Bluegrass
Blues
Bossa nova
Brass
Britpop
Chanson
Chill out
Classical period
Country
Coverband
Cumbia
Dance
Dancehall
Death Metal
Deep house
Disco
Drum 'n bass
Dubstep
Easy Listening
Electronic
Entertainment
Fado
Fanfare
Fingerstyle
Flamenco
Folk
Funk
Gipsy
Gospel
Gothic
Grunge
Hard Rock
Hardstyle
Heavy metal
Hip Hop
House
Indie Rock
Celtic
Children's music
Classical
Cabaret
Comedy
Choir
Latin
Torch song
Mariachi
Merengue
Metal
Minimal
Contemporary classical
Muzak
Musical theatre
Nederpop
Nu-Disco
Piano show
Pop
Progressive metal
Progressive rock
Psychedelic
Punk
R&B
Reggae
Reggaeton
Renaissance
Rock
Rockabilly
Rock 'n Roll
Romantic music
Salsa
Samba
Schlager
Singer-songwriter
Ska
Tear-jerker
Soul
Swing
Tango
Techno
Trance
Tribute act
Trip hop
Folk music
World music
Zouk
All-round
Western swing
90s
80s
70s
60s
Tech House
