name
Christmas party
Business event
Gala
Bar
Birthday party
Christmas gala
Festival
Funeral
Living room concert
Party
Graduation
New Year's reception
Reception
New Year's party
Cremation
Famous artist
DJ
Elecronic music
St. Patrick's Day
Oktoberfest
National Day 
Valentine's Day
Wedding
Personalised Song
Online Gig
Graduation Party 
Drinks
Pub

